correctionsNb,cancelled,onBehalf,jointProcurement,fraAgreement,accelerated,outOfDirectives,subContracted,gpa,multipleCae,typeOfContract,topType,renewal,contractDuration,publicityDuration,tenderNumber,AgentNumber,Score
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,16,1
0.0,0.0,,,N,,0.0,,,,W,OPE,,,59.0,4.0,16,1
0.0,0.0,,,N,,0.0,,,,W,OPE,,,59.0,2.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,16,1
0.0,0.0,N,,N,,0.0,Y,Y,,W,OPE,,,,3.0,16,1
0.0,0.0,N,,N,,1.0,Y,,,W,AWP,,,,1.0,16,1
0.0,0.0,N,,N,,1.0,N,N,,W,AWP,,,,,16,1
0.0,0.0,N,,N,,1.0,N,N,,W,AWP,,,,,16,1
0.0,0.0,N,,N,,1.0,N,N,,W,AWP,,,,,16,1
0.0,0.0,,,N,,1.0,,N,,W,AWP,,,,3.0,16,1
0.0,0.0,N,,N,,1.0,N,N,,W,AWP,,,,1.0,16,1
0.0,0.0,N,,N,,0.0,,N,,W,OPE,,,,7.0,16,1
0.0,0.0,N,N,N,,1.0,N,N,N,W,AWP,,,,6.0,16,1
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,5.0,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,5.0,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,2.0,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,5.0,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,3.0,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,2.0,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,6.0,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,2.0,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,5.0,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,13.0,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,5.0,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,4.0,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,4.0,17,0
0.0,0.0,N,,N,,1.0,N,N,,W,AWP,,,,,17,0
0.0,0.0,N,,N,,1.0,N,N,,W,AWP,,,,3.0,17,0
0.0,0.0,N,,N,,0.0,Y,Y,,W,OPE,N,19.0,70.0,,17,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,,,,,17,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,5.0,21.0,5.0,17,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,12.0,54.0,5.0,18,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,12.0,55.0,,18,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,N,,43.0,,18,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,12.0,43.0,1.0,18,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,N,,43.0,,18,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,12.0,45.0,,18,0
0.0,0.0,N,,N,,0.0,Y,Y,,W,OPE,,,43.0,3.0,18,0
0.0,0.0,N,,N,,0.0,Y,N,,W,OPE,N,,26.0,2.0,19,1
0.0,0.0,N,,N,,0.0,Y,N,,W,OPE,N,,26.0,1.0,19,1
0.0,0.0,N,,N,,0.0,Y,N,,W,OPE,N,,26.0,6.0,19,1
0.0,0.0,N,,N,,0.0,Y,N,,W,OPE,N,,26.0,8.0,19,1
0.0,0.0,N,,N,,0.0,Y,N,,W,OPE,N,,26.0,6.0,19,1
0.0,0.0,N,,N,,0.0,Y,N,,W,OPE,N,,26.0,4.0,19,1
0.0,0.0,N,,N,,0.0,Y,N,,W,OPE,N,,26.0,6.0,19,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,,54.0,1.0,19,1
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,5.0,21.0,2.0,19,1
0.0,0.0,N,,N,,0.0,,N,,W,OPE,,,,9.0,19,1
0.0,0.0,N,,N,,0.0,,,,W,OPE,,,47.0,,20,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,,,,6.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,,,,4.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,,,,11.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,,,,4.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,,,,2.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,59.0,5.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,59.0,5.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,9.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,8.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,8.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,9.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,55.0,3.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,53.0,3.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,53.0,3.0,21,1
0.0,0.0,N,,N,,0.0,,N,,W,OPE,N,,55.0,4.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,92.0,5.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,92.0,5.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,92.0,3.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,47.0,5.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,47.0,6.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,47.0,8.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,47.0,7.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,47.0,8.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,47.0,7.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,47.0,7.0,21,1
